YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_ARR_1,DLY_APT_ARR_A_1,DLY_APT_ARR_C_1,DLY_APT_ARR_D_1,DLY_APT_ARR_E_1,DLY_APT_ARR_G_1,DLY_APT_ARR_I_1,DLY_APT_ARR_M_1,DLY_APT_ARR_N_1,DLY_APT_ARR_O_1,DLY_APT_ARR_P_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1,DLY_APT_ARR_T_1,DLY_APT_ARR_V_1,DLY_APT_ARR_W_1,DLY_APT_ARR_NA_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,ATFM_VERSION
2022,1,JAN,1-Jan-2022,EPGD,Gdansk,Poland,39,,,,,,,,,,,,,,,,,,,,v2,Gdansk (EPGD)
2022,1,JAN,1-Jan-2022,EPKT,Katowice - Pyrzowice,Poland,30,,,,,,,,,,,,,,,,,,,,v2,Katowice - Pyrzowice (EPKT)
2022,1,JAN,1-Jan-2022,LEBL,Barcelona,Spain,250,,,,,,,,,,,,,,,,,,,,v2,Barcelona (LEBL)
2022,1,JAN,1-Jan-2022,LEMO,Seville/Moron,Spain,1,,,,,,,,,,,,,,,,,,,,v2,Seville/Moron (LEMO)
2022,1,JAN,1-Jan-2022,LGMK,Mikonos,Greece,1,,,,,,,,,,,,,,,,,,,,v2,Mikonos (LGMK)
2022,1,JAN,1-Jan-2022,EDDW,Bremen,Germany,15,,,,,,,,,,,,,,,,,,,,v2,Bremen (EDDW)
2022,1,JAN,1-Jan-2022,GCLA,La Palma,Spain,14,,,,,,,,,,,,,,,,,,,,v2,La Palma (GCLA)
2022,1,JAN,1-Jan-2022,LICC,Catania,Italy,71,,,,,,,,,,,,,,,,,,,,v2,Catania (LICC)
2022,1,JAN,1-Jan-2022,LFMV,Avignon-Caumont,France,1,,,,,,,,,,,,,,,,,,,,v2,Avignon-Caumont (LFMV)
2022,1,JAN,1-Jan-2022,LLBG,Tel Aviv,Israel,84,,,,,,,,,,,,,,,,,,,,v2,Tel Aviv (LLBG)
